Date,Open,Close,y_test_pred_binary,signal,Remaining_Money,New_Stock,Borrowed_Stock,Total_Value,BH_Value
2018-08-03,6.290249824523926,6.302499771118164,1.0,buy,0.0,1589.7619774993348,0.0,10019.474499321917,10019.474499321917
2018-08-06,6.289750099182129,6.350749969482422,1.0,,0.0,1589.7619774993348,0.0,10096.180830088215,10096.180830088215
2018-08-07,6.400000095367432,6.423749923706055,1.0,,0.0,1589.7619774993348,0.0,10212.233381672138,10212.233381672138
2018-08-08,6.425000190734863,6.4604997634887695,1.0,,0.0,1589.7619774993348,0.0,10270.65687963789,10270.65687963789
2018-08-09,6.478499889373779,6.411499977111816,1.0,,0.0,1589.7619774993348,0.0,10192.758882350221,10192.758882350221
2018-08-10,6.328750133514404,6.369750022888184,1.0,,0.0,1589.7619774993348,0.0,10126.386392563152,10126.386392563152
2018-08-13,6.378499984741211,6.402999877929688,1.0,,0.0,1589.7619774993348,0.0,10179.2457478655,10179.2457478655
2018-08-14,6.509500026702881,6.535749912261963,0.0,sell,20697.111269966288,0.0,1589.7619774993348,10306.824565007606,10390.286704958682
2018-08-15,6.5567498207092285,6.477000236511231,1.0,buy,0.0,1566.8494284437897,0.0,10148.484118607914,10296.888704259754
2018-08-16,6.547500133514404,6.435999870300293,1.0,,0.0,1566.8494284437897,0.0,10084.242718244319,10231.707880994056
2018-08-17,6.323500156402588,6.120500087738037,1.0,,0.0,1566.8494284437897,0.0,9589.90206426251,9730.138322767274
2018-08-20,6.079500198364258,6.196000099182129,1.0,,0.0,1566.8494284437897,0.0,9708.199214041184,9850.165370261855
2018-08-21,6.212500095367432,6.333000183105469,1.0,,0.0,1566.8494284437897,0.0,9922.857717233219,10067.9628945974
2018-08-22,6.300000190734863,6.570499897003174,1.0,,0.0,1566.8494284437897,0.0,10294.984008209402,10445.530909418942
2018-08-23,6.531499862670898,6.671000003814697,1.0,,0.0,1566.8494284437897,0.0,10452.452543125577,10605.302157962522
2018-08-24,6.679500102996826,6.805500030517578,1.0,,0.0,1566.8494284437897,0.0,10663.193833090661,10819.125186387408
2018-08-27,6.8354997634887695,6.897500038146973,1.0,,0.0,1566.8494284437897,0.0,10807.343992461601,10965.383300446269
2018-08-28,6.891499996185303,6.859499931335449,1.0,,0.0,1566.8494284437897,0.0,10747.803546823163,10904.972175496394
2018-08-29,6.8480000495910645,6.962250232696533,1.0,,0.0,1566.8494284437897,0.0,10908.797797783205,11068.320697776844
2018-08-30,6.930749893188477,6.945250034332275,0.0,sell,21718.88301765844,0.0,1566.8494284437897,10836.721970965704,11041.294428807401
2018-08-31,6.925000190734863,7.017000198364258,1.0,buy,0.0,1569.4512819470483,0.0,11012.839956745476,11155.360111464786
2018-09-04,7.003749847412109,7.09250020980835,1.0,,0.0,1569.4512819470483,0.0,11131.333546493423,11275.38715895937
2018-09-05,7.074749946594238,6.9604997634887695,1.0,,0.0,1569.4512819470483,0.0,10924.165276799577,11065.537868387559
2018-09-06,6.943999767303467,6.817999839782715,0.0,sell,21796.538673268864,0.0,1569.4512819470485,11096.020084407111,10838.996907883116
2018-09-07,6.724999904632568,6.796500205993652,0.0,,21796.538673268864,0.0,1569.4512819470485,11129.762712218748,10804.817607555105
2018-09-10,6.819250106811523,6.868249893188477,1.0,buy,0.0,1626.8735824976536,0.0,11173.774309220664,10918.882532154907
2018-09-11,6.821499824523926,6.820000171661377,0.0,sell,22195.43571506071,0.0,1626.8735824976536,11100.157603155354,10842.176959446193
2018-09-12,6.779749870300293,6.704999923706055,0.0,,22195.43571506071,0.0,1626.8735824976536,11287.248468534546,10659.353937843825
2018-09-13,6.771500110626221,6.7835001945495605,0.0,,22195.43571506071,0.0,1626.8735824976536,11159.538451680337,10784.150683654232
2018-09-14,6.874750137329102,6.910749912261963,1.0,buy,0.0,1601.6707677241893,0.0,11068.746117522493,10986.447446520933
2018-09-17,6.885000228881836,6.848249912261963,1.0,,0.0,1601.6707677241893,0.0,10968.64169453973,10887.087322927224
2018-09-18,6.852250099182129,6.7754998207092285,0.0,sell,21950.097353990386,0.0,1601.6707677241893,11097.977354439929,10771.431993517092
2018-09-19,6.756750106811523,6.799499988555908,0.0,,21950.097353990386,0.0,1601.6707677241893,11059.536987179428,10809.586547813346
2018-09-20,6.676249980926514,6.6570000648498535,0.0,,21950.097353990386,0.0,1601.6707677241893,11287.774949382343,10583.045587308903
2018-09-21,6.669000148773193,6.586249828338623,0.0,,21950.097353990386,0.0,1601.6707677241893,11401.093535011954,10470.569551404264
2018-09-24,6.554999828338623,6.642499923706055,0.0,,21950.097353990386,0.0,1601.6707677241893,11310.99940158024,10559.993814250118
2018-09-25,6.709249973297119,6.710249900817871,1.0,buy,0.0,1669.9463938589965,0.0,11205.757623763493,10667.700151838933
2018-09-26,6.715250015258789,6.672999858856201,1.0,,0.0,1669.9463938589965,0.0,11143.552050518507,10608.481451468017
2018-09-27,6.708499908447266,6.684999942779541,0.0,sell,22405.67046062984,0.0,1669.9463938589965,11242.078913237548,10627.558728616143
2018-09-28,6.818250179290772,7.0254998207092285,1.0,buy,0.0,1616.185659300786,0.0,11354.512059650498,11168.872487891926
2018-10-01,7.104000091552734,7.234000205993652,1.0,,0.0,1616.185659300786,0.0,11691.487392305873,11500.338472711064
2018-10-02,7.206250190734863,7.162000179290772,1.0,,0.0,1616.185659300786,0.0,11575.121981679406,11385.875567879888
2018-10-03,7.232999801635742,7.16825008392334,0.0,sell,23379.741106258232,0.0,1616.185659300786,11794.518118339674,11395.811428627741
2018-10-04,7.131750106811523,6.982250213623047,0.0,,23379.741106258232,0.0,1616.185659300786,12095.128441350815,11100.115907004527
2018-10-05,6.957250118255615,6.746500015258789,0.0,,23379.741106258232,0.0,1616.185659300786,12476.144531124442,10725.329205457105
2018-10-08,6.662499904632568,6.64424991607666,1.0,buy,0.0,1892.968778360344,0.0,12577.357646756454,10562.775885581821
2018-10-09,6.623499870300293,6.638500213623047,0.0,sell,25076.156915904485,0.0,1892.968778360344,12509.683276377584,10553.63522723913
2018-10-10,6.531499862670898,6.142250061035156,1.0,buy,0.0,1946.2959300752768,0.0,11954.636295297345,9764.71560332666
2018-10-11,6.0542497634887695,5.8782501220703125,1.0,,0.0,1946.2959300752768,0.0,11440.81428854995,9345.018538298205
2018-10-12,6.137750148773193,6.16349983215332,1.0,,0.0,1946.2959300752768,0.0,11995.99463833966,9798.49768148088
2018-10-15,6.150000095367432,5.884500026702881,0.0,sell,23939.440311152393,0.0,1946.2959300752768,12486.46185865272,9354.95439904606
2018-10-16,5.9982500076293945,6.145750045776367,1.0,buy,0.0,2044.7748456848099,0.0,12566.675101469784,9770.279745990065
2018-10-17,6.208499908447266,6.076499938964844,1.0,,0.0,2044.7748456848099,0.0,12425.074225000595,9660.188559243337
2018-10-18,6.146500110626221,5.988249778747559,1.0,,0.0,2044.7748456848099,0.0,12244.622517260636,9519.891810021672
2018-10-19,6.044000148773193,5.729249954223633,0.0,sell,24717.238943053348,0.0,2044.7748456848099,13002.212752016016,9108.143736814536
2018-10-22,5.7820000648498535,5.7804999351501465,1.0,buy,1.8189894035458565e-12,2230.0848336353774,0.0,12891.005236208626,9189.619007839074
2018-10-23,5.510749816894531,5.526500225067139,1.0,,1.8189894035458565e-12,2230.0848336353774,0.0,12324.564335004728,8785.819926453252
2018-10-24,5.487750053405762,4.985249996185303,1.0,,1.8189894035458565e-12,2230.0848336353774,0.0,11117.530408373668,7925.360892264098
2018-10-25,4.886750221252441,5.196000099182129,1.0,,1.8189894035458565e-12,2230.0848336353774,0.0,11587.521016753984,8260.40339276252
2018-10-26,4.957749843597412,4.957250118255615,0.0,sell,22112.40547032951,0.0,2230.084833635378,11057.31716507048,7880.847750956858
2018-10-29,5.09975004196167,4.640500068664551,1.0,buy,0.0,2105.8934571405666,0.0,9772.398732461028,7377.290565745955
2018-10-30,4.663750171661377,5.074999809265137,1.0,,0.0,2105.8934571405666,0.0,10687.408893321075,8068.041732586091
2018-10-31,5.241250038146973,5.270750045776367,0.0,sell,22075.02832514291,0.0,2105.8934571405666,10975.390289519117,8379.238015678147
2018-11-01,5.307499885559082,5.452750205993652,0.0,,22075.02832514291,0.0,2105.8934571405666,10592.117342919,8668.574950290375
2018-11-02,5.443250179290772,5.373000144958496,1.0,buy,0.0,1949.593172727909,0.0,10475.164399677149,8541.791335553431
2018-11-05,5.359749794006348,5.294250011444092,1.0,,0.0,1949.593172727909,0.0,10321.633677026055,8416.597367569235
2018-11-06,5.286250114440918,5.276500225067139,0.0,sell,20612.074264892282,0.0,1949.593172727909,10325.045450204114,8388.37943207842
2018-11-07,5.34375,5.344749927520752,1.0,buy,0.0,1907.6370990647988,0.0,10195.84324696248,8496.880214014816
2018-11-08,5.284999847412109,5.149750232696533,1.0,,0.0,1907.6370990647988,0.0,9823.854594809487,8186.8771135593
2018-11-09,5.059999942779541,5.141749858856201,1.0,,0.0,1907.6370990647988,0.0,9808.592784865283,8174.15842342216
2018-11-12,5.049499988555908,4.738500118255615,0.0,sell,19265.227019793056,0.0,1907.6370990647988,10225.888400285708,7533.087318378878
2018-11-13,4.837250232696533,4.982749938964844,1.0,buy,0.0,2075.044402415769,0.0,10339.427369486515,7921.3863963534395
2018-11-14,5.15749979019165,4.929749965667725,1.0,,0.0,2075.044402415769,0.0,10229.450071568142,7837.1290539972
2018-11-15,4.923749923706055,5.059750080108643,0.0,sell,20433.999436162638,0.0,2075.044402415769,9934.79335481046,8043.798293005933
2018-11-16,4.083000183105469,4.110750198364258,1.0,buy,0.0,2929.6086761498173,0.0,12042.889446612511,6535.114364357345
2018-11-19,4.044750213623047,3.617500066757202,0.0,sell,23699.07063737781,0.0,2929.6086761498173,13101.211055833366,5750.964059731905
2018-11-20,3.3515000343322754,3.7269999980926514,1.0,buy,0.0,4141.574493955509,0.0,15435.648131072756,5925.04288710779
