Date,Mamba,BH_Value,Ensemble_Mamba
2018-08-03,9921.37041649517,9921.37041649517,9921.37041649517
2018-08-06,10054.468630491,10054.468630491,10054.468630491
2018-08-07,10134.6218178579,10134.6218178579,10134.6218178579
2018-08-08,10265.4342109098,10265.4342109098,10265.4342109098
2018-08-09,10330.7324681976,10330.7324681976,10330.7324681976
2018-08-10,10264.2377459697,10264.2377459697,10264.2377459697
2018-08-13,10318.1077288397,10318.1077288397,10343.1396684754
2018-08-14,10445.7101750085,10445.7101750085,10218.3360939393
2018-08-15,10537.2908064913,10244.2125263818,10307.9232695844
2018-08-16,10516.0691219633,10265.4342109098,10287.1635221518
2018-08-17,10500.0152636937,10242.0363052797,10310.0521204009
2018-08-20,10623.914813395,10212.0541061207,10339.3816904071
2018-08-21,10586.4834550273,10248.5657988878,10340.6459884443
2018-08-22,10784.2953434534,10365.4490484035,10458.5793977563
2018-08-23,10772.9719634821,10354.5654519877,10447.5980155975
2018-08-24,10787.0691741741,10368.1151475866,10517.4899723693
2018-08-27,10769.6884597233,10489.4056392274,10395.1097232267
2018-08-28,10685.6476158988,10517.3743564434,10313.7320787019
2018-08-29,11046.5498580591,10872.593255973,10662.0730652329
2018-08-30,11070.2124534385,10895.8832223649,10684.9120804992
2018-08-31,11127.3215579658,10952.0929957979,10679.0952560763
2018-09-04,11275.4865228372,11097.9247186917,10673.5977021708
2018-09-05,11028.4161272116,10854.7450877891,10439.7159976711
2018-09-06,10826.5695489011,10656.0771078063,10248.6440496818
2018-09-07,10644.3498491681,10622.1227446823,10215.9879250994
2018-09-10,10368.6314403752,10551.0572108684,10482.4738480804
2018-09-11,10626.0542664869,10813.0091358941,10860.4811315254
2018-09-12,10641.2945072112,10828.517513515,10876.0575950626
2018-09-13,10748.9373767538,10827.810096354,10875.3470721515
2018-09-14,10610.1120070243,10720.7219175522,10767.7887476675
2018-09-17,10778.3508015406,10382.4801995846,10938.527736786
2018-09-18,10846.3256625511,10562.1575160624,11007.5127713482
2018-09-19,10921.9301550777,10482.5490066975,11084.2408212842
2018-09-20,10822.0194376472,10579.8421147854,10982.8453319427
2018-09-21,10550.5643842333,10420.4623568964,10707.3561884057
2018-09-24,10657.1712195527,10525.7545928353,10815.5473065594
2018-09-25,10878.5940166692,10744.4469621041,11040.2606650696
2018-09-26,10880.2467706533,10746.0793355061,11041.9379806098
2018-09-27,10872.8093777246,10953.5626300408,11034.3900606787
2018-09-28,10927.7932914242,10899.2567387089,11090.1910896259
2018-10-01,10920.3004143841,10906.6572189389,11082.5868610347
2018-10-02,11102.3866578758,10726.8163330002,10947.7461280157
2018-10-03,11204.5858690146,10625.8773695673,11166.1667292455
2018-10-04,11443.363423633,10390.0442492755,11406.8570747667
2018-10-05,11552.2846189312,10282.4661923927,11516.6508121755
2018-10-08,11691.2866092756,10145.1782753518,11656.7663148139
2018-10-09,11780.7605773082,10177.2827259938,11746.2451689967
2018-10-10,12348.9755150051,9551.13301742563,12312.7953440109
2018-10-11,12575.0385613562,9355.83938408874,12538.1960682395
2018-10-12,11887.8389062177,9732.66024638543,11853.0097785823
2018-10-15,12156.6202393808,9582.14977266751,12121.0036330933
2018-10-16,11764.4153877745,9903.25073961211,11729.947867788
2018-10-17,11686.1869858137,9967.29690173702,11651.9486603021
2018-10-18,11426.6230688933,9635.31316867839,11393.1452167413
2018-10-19,11656.1600647974,9598.90941514951,11622.0097125056
2018-10-22,11561.5379644146,9736.41487127042,11527.6648370446
2018-10-23,11086.4901130604,9624.32080272253,11394.9483423671
2018-10-24,10371.7489530486,9055.68776267117,10721.701445265
2018-10-25,10124.3903947287,9697.61735755944,10465.9967782659
2018-10-26,10992.9193266528,8939.29522153823,11363.8306871679
2018-10-29,11640.6398155525,8373.76335882997,12033.4058700421
2018-10-30,11693.3644132217,8327.72893434994,12741.5460720116
2018-10-31,11651.0474751939,8695.51694301464,13304.26706042
2018-11-01,12143.3338956557,9062.92467344021,13866.4062176062
2018-11-02,12143.3338956557,9062.92467344021,13866.4062176062
2018-11-05,11868.2458472571,8857.6184303094,14047.987103512
2018-11-06,11977.6838689946,8939.29522153823,13923.0204281242
2018-11-07,11596.3662898079,9552.4390822076,12984.9014270043
2018-11-08,11599.3435267502,9549.28310494359,12988.3142970991
2018-11-09,11583.8773696127,9318.12956577788,12970.9961351353
2018-11-12,11255.5290024079,8906.86363197436,13530.3733312271
2018-11-13,11465.6697874307,8875.95647657432,13290.6628064765
2018-11-14,10901.9923059102,8700.95874122257,13028.6250307624
2018-11-15,11041.2832556859,8812.12785352944,13195.0872244499
2018-11-16,10783.2230775123,8670.48666398258,12886.6876950379
2018-11-19,11336.2962648106,8229.0749615591,12485.9641091032
2018-11-20,11451.0425034201,8137.4951603782,12347.0102028616
2018-11-21,10937.6167986227,8253.23508427107,12522.6222300296
2018-11-23,10831.8260631054,8173.40820552428,12648.2006716387
2018-11-26,11403.4670760258,8604.75332853474,12682.710486877
2018-11-27,11404.1162879619,8605.24320661571,12683.4325275489
2018-11-28,12098.7818624036,9129.41939566813,13456.0258368563
2018-11-29,12089.1185077894,9106.67410727815,13445.2784450249
2018-11-30,11969.410428938,9197.002643598,13312.1414879143
2018-12-03,11416.304610804,9644.23642246853,12696.9881390921
2018-12-04,10746.6671601335,9078.54182060117,11952.230613911
2018-12-06,9858.73351466706,9246.08510610386,10964.6883794371
2018-12-07,10310.0118672068,8864.85534107844,11466.5912354807
2018-12-10,10453.588124356,8929.60892036434,11626.2739083093
2018-12-11,10467.6666591367,8941.63501210124,11641.9317761764
2018-12-12,10666.5410290066,9052.09670724712,11785.7519519081
2018-12-13,10699.4113556207,9024.01839018922,12055.5388314145
2018-12-14,11122.8346616197,8662.32396667069,12526.4618557526
2018-12-17,11575.113909488,8275.98037266105,13029.4778877799
2018-12-18,11380.3793131358,8442.32553261994,12990.3506131225
2018-12-19,11739.6550837267,8135.42687851431,13321.4137257283
2018-12-20,11957.8325205816,7949.05649896756,13608.1850146176
2018-12-21,11218.3799674753,7495.34719610808,12762.2826468536
2018-12-24,10945.6270916001,7313.11254998728,12451.9928095729
2018-12-26,11979.4658740897,8003.85226838045,13628.111178862
2018-12-27,11904.0499773093,7953.46457139446,13542.3163498788
2018-12-28,11961.3867377756,8042.59581247235,13607.543944705
2018-12-31,11626.0675762679,8172.91915774514,13226.0772865535
2019-01-02,11913.7053297551,8375.12339323103,12251.2737648441
2019-01-03,11918.4286026698,8163.72273465222,12593.3793693198
2019-01-04,12035.1349543855,8572.43133881272,12697.5100758982
2019-01-07,12032.995913853,8866.92362294234,12695.2533094541
2019-01-08,11706.9283155766,9014.22414977715,12351.2399992395
2019-01-09,11726.9981433674,9029.67772747717,12372.414405805
2019-01-10,11489.4081317194,9012.26463745327,12121.7482040326
2019-01-11,11600.0757846496,8927.05159072131,12238.6568638689
2019-01-14,11796.8268505062,8799.99299225254,12064.4642345936
2019-01-15,11594.2575823788,9112.06110556516,12492.2980516355
2019-01-16,11520.7819673146,9162.23209377296,12561.0806169603
2019-01-17,11585.3724755965,9213.5995469209,12434.2588847639
2019-01-18,11605.7615105469,9229.814511401,12180.6972790404
2019-01-22,11167.6546146943,8881.39744448042,11720.8870830967
2019-01-23,11440.0443539817,8924.11315253732,12006.7706895417
2019-01-24,11338.0271405485,9005.24526576426,11899.6996634008
2019-01-25,11231.0142011571,9090.35037325804,11788.3826046807
