Date,Mamba,BH_Value,Ensemble_Mamba
2018-08-03,9943.6229410735,9943.6229410735,9943.6229410735
2018-08-06,9939.68747776996,9939.68747776996,10002.9722765819
2018-08-07,10024.0925350394,10085.6102660999,9918.05621677152
2018-08-08,10053.7712292352,10129.7005671834,9888.5976747223
2018-08-09,10078.7194125068,10154.8371672188,9891.07358373177
2018-08-10,9983.46873867329,10058.8671294334,9797.59628912443
2018-08-13,9952.62177715095,10027.7872016626,9767.32363703796
2018-08-14,10028.3444543673,10104.081761073,9841.63650771624
2018-08-15,9821.74187456172,9895.91885164124,9638.88045947163
2018-08-16,10042.5319282425,9830.38600443127,9855.55983887795
2018-08-17,10107.9718795371,9764.45182942061,9919.78142766111
2018-08-20,10080.2737130537,9813.44078052927,9892.59894627549
2018-08-21,10042.8215401174,9776.97999665826,9855.84405875242
2018-08-22,10078.6241231691,9811.83485661232,9890.98006849308
2018-08-23,10052.6385195226,9807.09612499321,9886.20311283907
2018-08-24,10100.5070058742,9932.29936995212,10012.4162848397
2018-08-27,10061.7956224994,10089.0635233285,9974.04251953419
2018-08-28,9984.35694657736,10005.4611216603,10058.3192833262
2018-08-29,9980.27020311556,10156.3628255756,9906.20036086782
2018-08-30,10062.093117094,10074.3669605387,9988.85762922093
2018-08-31,9915.66915267183,9892.54585997287,9843.80660781274
2018-09-04,9750.72970024002,9727.9910455496,9680.06253298147
2018-09-05,9652.44294092752,9629.93349048636,9582.48809439502
2018-09-06,9765.54168277604,9508.58544327084,9694.76716756718
2018-09-07,9909.09727264069,9457.18729992967,9837.28235664217
2018-09-10,10041.6289484219,9436.86847164509,9968.85352604211
2018-09-11,10237.4612373374,9556.77112606393,10163.266545473
2018-09-12,10079.2526871692,9409.08188269673,10006.2045915515
2018-09-13,10169.927522559,9493.72773664662,10054.544729435
2018-09-14,10134.1390906886,9460.31888220343,9920.11419648146
2018-09-17,9977.99543445477,9314.55723770793,9767.26816910469
2018-09-18,10040.6248620503,9373.0224266264,9828.57491339226
2018-09-19,10010.8591468809,9430.52442882323,9799.43782626753
2018-09-20,10047.7122188512,9569.45982442184,9835.51259089866
2018-09-21,10268.2174892045,9413.25752996647,10051.3609666962
2018-09-24,10205.4806701123,9473.00819327555,10332.7832922407
2018-09-25,10248.6850735479,9588.09185051514,10458.3120014399
2018-09-26,10243.7927574523,9589.45697775167,10459.801028327
2018-09-27,10255.3178445091,9696.2689932977,10576.3073573755
2018-09-28,10202.1447927609,9694.02033218545,10521.4699991439
2018-10-01,10114.4491398087,9705.66496554739,10431.0294888065
2018-10-02,10107.0007975011,9698.51765440995,10423.3480147906
2018-10-03,10139.5570451853,9729.75811330103,10456.9232668824
2018-10-04,10319.1601077033,9453.01103994572,10642.1478713576
2018-10-05,10396.4919709877,9378.8046105273,10721.9002073665
2018-10-08,10496.1688611947,9283.15624769658,10751.5330872191
2018-10-09,10478.5691964242,9196.8229788412,10651.5439270822
2018-10-10,10803.1276008135,8771.10180044229,10981.4599715777
2018-10-11,10816.1214697196,8759.69735104657,10994.6683364644
2018-10-12,10543.4442964859,8999.02045380922,10734.4836175716
2018-10-15,10709.0632434206,8853.66013711441,10859.2120389513
2018-10-16,10428.7006082631,9099.72861049961,10565.6892038925
2018-10-17,10252.5439624941,9055.63892213034,10385.1014412289
2018-10-18,9982.68015086895,8817.27961880354,10111.7484988474
2018-10-19,10048.7819465153,8875.66454216188,10178.7049396826
2018-10-22,10125.7949191467,8925.37649602597,10256.713630598
2018-10-23,10531.4868711961,8953.80582216963,10667.6508664037
2018-10-24,11079.0743926804,8489.69626102801,11222.3182718172
2018-10-25,10640.1165028559,8862.89557824382,10777.6849953416
2018-10-26,11539.2397067935,8703.56108880049,11688.4331682061
2018-10-29,12333.5439065462,8309.88302489403,12493.0071080791
2018-10-30,12851.5097171805,8428.5804704824,13017.6698167887
2018-10-31,13354.4223263225,8758.41248937017,12971.90118271
2018-11-01,13430.8327406895,8721.47011213834,12897.3609563481
2018-11-02,13178.4925606813,8605.10159322235,12725.274510701
2018-11-05,13397.9102428738,8478.5332210269,12937.1462574539
2018-11-06,13227.6886939821,8589.68202767716,12772.7787528012
2018-11-07,12752.0782159137,8900.23928327634,12313.5248688142
