Date,Mamba,BH_Value,Ensemble_Mamba
2018-08-03,9980.52550067808,10019.4744993219,10019.4744993219
2018-08-06,10097.7851282993,10096.1808300882,9902.23028121662
2018-08-07,10213.856120807,10212.2333816721,9860.39004586102
2018-08-08,10272.2889023538,10270.6568796379,9916.80067184806
2018-08-09,10194.378526958,10192.7588823502,9841.58650386534
2018-08-10,10127.9954904832,10126.3863925632,9777.50075365227
2018-08-13,10180.8632452161,10179.2457478655,9828.53893906912
2018-08-14,10391.9377370325,10390.2867049587,9951.72226749446
2018-08-15,10298.5248952518,10296.8887042598,9798.83714401708
2018-08-16,10233.3337146559,10231.7078809941,9736.80906054083
2018-08-17,9731.68445627732,9730.13832276727,9259.49998606014
2018-08-20,9481.25749147002,9850.16537026186,9021.22381839767
2018-08-21,9638.41557570603,10067.9628945974,9170.75654167189
2018-08-22,9999.87473810493,10445.5309094189,8731.26155253335
2018-08-23,10152.8293831145,10605.3021579625,8975.42610988011
2018-08-24,10357.5297012614,10819.1251863874,9156.3877424327
2018-08-27,10497.5477465578,10965.3833004463,9280.16817566817
2018-08-28,10439.7140483451,10904.9721754964,9229.04133551537
2018-08-29,10596.0933435311,11068.3206977768,9367.28563728526
2018-08-30,10526.0835951677,11041.2944288074,9305.39477911204
2018-08-31,10697.1530980946,11155.3601114648,9456.62569467615
2018-09-04,10812.2500281921,11275.3871589594,9558.37506449047
2018-09-05,10611.0203084571,11065.5378683876,9380.48155200839
2018-09-06,10393.7845300249,10838.9969078831,9188.43817137371
2018-09-07,10143.0101015101,10804.8176075551,8966.74555068161
2018-09-10,10180.9622247381,10918.8825321549,8870.05039372982
2018-09-11,10113.8865095125,10842.1769594462,8935.07526809999
2018-09-12,10284.3539791702,10659.3539378438,9090.05806259414
2018-09-13,10167.9912514713,10784.1506836542,8984.26532248978
2018-09-14,10085.2659968906,10986.4474465209,8907.69252055756
2018-09-17,9994.05605110931,10887.0873229272,8921.87191637931
2018-09-18,9887.88754061153,10771.4319935171,8816.84200395755
2018-09-19,9922.91240474014,10809.5865478133,8736.81363226071
2018-09-20,9714.953839699,10583.0455873089,8922.2463451437
2018-09-21,9853.22870760689,10470.5695514043,9014.31241754703
2018-09-24,10030.9692890029,10559.9938142501,8941.1151307511
2018-09-25,10133.2798569434,10667.7001518389,8855.57404603381
2018-09-26,10077.0278386938,10608.481451468,8806.41484783923
2018-09-27,10095.149400558,10627.5587286161,8822.25146097771
2018-09-28,10609.3449380291,11168.8724878919,9271.61205503014
2018-10-01,10924.2054552373,11500.3384727111,9546.77179241753
2018-10-02,10815.4768041331,11385.8755678799,9568.54697816142
2018-10-03,10824.9149075804,11395.8114286277,9390.02945638379
2018-10-04,10544.0328589285,11100.1159070045,9146.37943851954
2018-10-05,10824.5375850652,10725.3292054571,9389.70214946616
2018-10-08,10921.38964346,10562.7758855818,9473.71608297079
2018-10-09,10862.6254587607,10553.6352272391,9422.74132427586
2018-10-10,10380.6574237365,9764.71560332666,10130.3205260113
2018-10-11,9934.48657444691,9345.01853829821,9957.65552079582
2018-10-12,10416.5704185053,9798.49768148088,10440.8636680213
2018-10-15,10842.4614339974,9354.95439904606,10867.7479352546
2018-10-16,10912.1135901954,9770.27974599007,10937.5625323657
2018-10-17,10789.1562577247,9660.18855924334,10814.3184420622
2018-10-18,10632.4632966587,9519.89181002167,10657.2600458245
2018-10-19,11290.3072076155,9108.14373681454,11316.6381629191
2018-10-22,11193.741565966,9189.61900783907,11219.8473134389
2018-10-23,10701.8797643231,8785.81992645325,10726.8384047354
2018-10-24,9653.7671006101,7925.3608922641,9676.28136044052
2018-10-25,10061.8775087777,8260.40339276252,10085.3435528881
2018-10-26,9601.48169136278,7880.84775095686,9623.87401254719
2018-10-29,8485.73900067045,7377.29056574596,8505.52921631613
2018-10-30,9280.27651603281,8068.04173258609,9301.91973101848
2018-10-31,9530.34152382541,8379.23801567815,9552.56793379613
2018-11-01,9197.53130190281,8668.57495029037,9218.98154069263
2018-11-02,9095.97669091318,8541.79133555343,9117.19008673021
2018-11-05,8962.66022720055,8416.59736756924,8983.56270589347
2018-11-06,8932.61153209583,8388.37943207842,8953.44393201825
2018-11-07,9044.76620389545,8496.88021401482,9065.86016797161
2018-11-08,9374.8820853403,8186.8771135593,8932.64617827563
2018-11-09,9680.737129465,8174.15842342216,8918.76890159609
2018-11-12,8921.51024300817,7533.08731837888,9298.20795459937
2018-11-13,8833.49147083642,7921.38639635344,9401.4468034167
2018-11-14,8128.92865290009,7837.1290539972,9301.4465152949
2018-11-15,7894.77692325058,8043.79829300593,9033.52070578226
2018-11-16,9569.99529802382,6535.11436435735,10950.3728248907
2018-11-19,10411.0005126727,5750.9640597319,11912.684755178
2018-11-20,12266.0828774666,5925.04288710779,14035.3444726355
2018-11-21,13537.2861905342,5751.3612819057,15489.9063382198
2018-11-23,13813.4737323364,5762.88716843509,15805.9312116019
2018-11-26,14580.3599785481,6082.82688769604,16683.4332425623
2018-11-27,14315.5215520012,6109.85277763669,16380.3944824864
2018-11-28,13711.5394883897,6361.82998132904,16021.7616279436
2018-11-29,13491.8576526318,6254.12364374023,15750.5118033284
2018-11-30,14012.29247078,6495.37016330835,16358.0719301214
2018-12-03,14579.0253383325,6758.07805112492,17019.6808018974
2018-12-04,13470.4232796481,6244.18778299237,15725.4891301451
2018-12-06,13571.5950900557,6291.08577345752,15843.5979803136
2018-12-07,14516.4360534307,5866.61901011325,16946.6135271019
2018-12-10,14152.0459890246,6035.53129602831,16521.2214011091
2018-12-11,13179.3580241554,5889.67078317203,15385.6970229194
2018-12-12,13242.5023464076,5917.88909769164,15459.4122531385
2018-12-13,13241.6126313806,5917.49149648906,15458.3735920887
2018-12-14,13024.6103729638,5820.51622205326,15205.0432709022
2018-12-17,13064.6314342244,5706.45053939587,15251.7642054093
2018-12-18,13048.409321986,5839.99072137518,15232.8263706896
2018-12-19,13555.461891014,5504.94822087675,15824.7639436321
2018-12-20,13283.7938490753,5369.42116997091,15507.6163119783
2018-12-21,12740.052631194,5149.63639768004,14872.8480917158
2018-12-24,12495.2221914475,5050.67387528891,14587.0309099514
2018-12-26,13087.1427616495,5289.93314690171,15278.044124561
2018-12-27,12861.9769617924,5213.22681613541,15015.1836141951
2018-12-28,12940.1210492986,5311.79211635274,15106.4097006478
2018-12-31,12925.598496284,5305.83075151555,15089.4559461271
2019-01-02,13188.9508863148,5413.93431127815,15396.8958135204
2019-01-03,12392.1144318739,5086.84080260105,14466.6620159125
2019-01-04,13186.0469297259,5412.74226572799,15393.505709377
2019-01-07,12935.2808138648,5699.29674997972,15100.7591677639
2019-01-08,13280.931979976,5557.41035400531,15504.2753411358
2019-01-09,13143.1967593071,5666.70671737567,15343.4820482674
2019-01-10,12755.1143162183,5772.02820580657,14890.4312336271
2019-01-11,13238.3508638571,5915.10702635994,15454.5657763526
2019-01-14,13381.5588960743,5979.09466698909,15621.7480769551
2019-01-15,13330.8584004603,5956.44087416168,15562.5598780307
2019-01-16,13239.2398700043,5915.50424853373,15455.60360985
