Date,Mamba,BH_Value,Ensemble_Mamba
2018-08-03,10072.0010836711,10072.0010836711,10072.0010836711
2018-08-06,10849.2885599034,10849.2885599034,10849.2885599034
2018-08-07,10690.5582030036,10690.5582030036,10690.5582030036
2018-08-08,10718.3765907056,10718.3765907056,10718.3765907056
2018-08-09,10811.6497145375,10631.6479417115,10811.6497145375
2018-08-10,10922.8039113158,10633.2846846554,10922.8039113158
2018-08-13,11043.8311259817,10751.1039587706,11043.8311259817
2018-08-14,11027.0218974832,10793.6505360302,11027.0218974832
2018-08-15,11119.4732954556,10703.6496496172,11119.4732954556
2018-08-16,11124.6707754627,10796.9240219181,11124.6707754627
2018-08-17,11101.0659400677,10783.8325753045,11101.0659400677
2018-08-20,11144.9707278197,10774.0133661098,11144.9707278197
2018-08-21,11258.3849961263,10883.6526709123,11258.3849961263
2018-08-22,11299.0102894924,10769.104385747,11299.0102894924
2018-08-23,11301.2260401102,10670.9210330832,11301.2260401102
2018-08-24,11335.8878553634,10703.6496496172,11335.8878553634
2018-08-27,11403.4767423409,10767.4688912721,11403.4767423409
2018-08-28,11457.2009032171,10733.1035317941,11457.2009032171
2018-08-29,11472.9382470185,10796.9240219181,11472.9382470185
2018-08-30,11325.1348666145,10801.833002281,11325.1348666145
2018-08-31,11319.9185264379,10806.7419826438,11319.9185264379
2018-09-04,11377.2739436116,10762.5586624402,11377.2739436116
2018-09-05,11366.8952193466,10752.7407017145,11366.8952193466
2018-09-06,11334.0274994718,10721.6488281245,11334.0274994718
2018-09-07,11138.5540470792,10536.7368264665,11138.5540470792
2018-09-10,11340.9470889073,10728.1945514313,11340.9470889073
2018-09-11,11401.4931665245,10785.4693182485,11280.4010112902
2018-09-12,11084.9288786744,11114.3834872488,10932.700550645
2018-09-13,11149.2391148152,11206.0223650748,10995.9362263671
2018-09-14,11219.2475258379,11168.384768178,11064.982016397
2018-09-17,11154.1458144679,11032.5638186174,11000.7754585252
2018-09-18,10980.4317479647,11207.6578595497,11175.3649972842
2018-09-19,11003.5936234985,11184.7484522105,11237.3695731148
2018-09-20,10988.0848247815,11312.3869355203,11224.033545921
2018-09-21,11064.3792552644,11302.5689747947,11301.9662576503
2018-09-24,11158.8108198467,11278.0228245114,11398.4255647605
2018-09-25,11244.6227216176,11364.7514735056,11486.0801178036
2018-09-26,11357.9601978568,11256.7501601162,11601.8513059227
2018-09-27,11541.8758819755,11534.9365340751,11789.7162379
2018-09-28,11491.1175694001,11484.2087390338,11737.8679848
2018-10-01,11502.57916415,11495.6634427034,11749.5756960176
2018-10-02,11559.8883871198,11408.9347937092,11660.9314145066
2018-10-03,11404.6361671563,11287.8420337062,11537.1639993429
2018-10-04,11399.6751326948,11282.9318048743,11532.1453150684
2018-10-05,11340.1553330252,11224.0215435822,11592.3567659145
2018-10-08,11378.1823622423,11261.659140479,11631.2295041166
2018-10-09,11421.1679031473,11202.7488791869,11675.171029723
2018-10-10,11090.0359992693,10903.2885923636,11336.6748580567
2018-10-11,11199.8883881956,10834.5603703459,11448.9703290291
2018-10-12,11205.3547553035,11189.6574325733,11454.5582663957
2018-10-15,11080.8152934253,11065.2924351514,11327.2490866595
2018-10-16,11297.1221880071,11281.2963103994,11548.3665774946
2018-10-17,11320.0637336278,11304.2057177386,11571.8183357631
2018-10-18,11269.2635252786,11253.4766742282,11519.8883470043
2018-10-19,11429.8555948444,11413.843774072,11684.0519329088
2018-10-22,11390.527409526,11374.5706827003,11757.7569111705
2018-10-23,11352.8370130231,11336.9330858035,11864.0366832451
2018-10-24,10767.8250992527,10752.7407017145,11252.6826404499
2018-10-25,10874.3388823975,10852.5607973223,11363.9925649253
2018-10-26,11072.6200982458,10654.5573490507,11571.2020594088
2018-10-29,10701.0583306408,10621.8299809858,11182.9094735203
2018-10-30,10537.8460993621,10459.826138198,11012.3480625863
2018-10-31,11301.1483567466,11217.4770687445,11810.0205713721
2018-11-01,11355.5511760581,11271.4771012046,11866.8730605995
2018-11-02,11584.7063710819,11210.9313454377,12106.3467390113
2018-11-05,11498.835846326,11273.1138441486,12016.6096050645
2018-11-06,11505.5126349082,11253.4766742282,12023.5870385091
2018-11-07,11608.6008272863,11510.3903837919,12131.3171234721
2018-11-08,11511.2304500797,11413.843774072,12029.5623175398
2018-11-09,11334.6424490957,11238.7497331397,11845.022847882
2018-11-12,11204.2642040145,11109.4745068859,11708.7738838067
2018-11-13,11290.0834013669,11194.5676614052,11798.4573791609
2018-11-14,11420.461646448,11147.1121037827,11934.7063432362
2018-11-15,11500.5353424513,11140.5663804759,12018.3856267189
2018-11-16,11679.5973145084,11314.0236784643,12205.5104663182
2018-11-19,11666.0828629696,11127.4749338624,12191.3874811449
2018-11-20,11507.7502166521,10893.470631638,12025.9253748969
2018-11-21,11547.5101864992,10927.8347426468,12067.4756711135
2018-11-23,11733.8942069875,10975.2903002693,12262.2522590014
2018-11-26,11901.8473495218,11044.018522287,12437.7680566656
2018-11-27,11901.8473495218,11044.018522287,12437.7680566656
2018-11-28,12061.1115633956,11278.0228245114,12604.2036774325
2018-11-29,12019.1115476265,11238.7497331397,12560.3124696921
2018-11-30,11978.8605867787,11201.1121362429,12518.2490739535
2018-12-03,11865.1105997022,11094.7475657974,12399.3771111265
2018-12-04,11649.8580154674,10893.470631638,12174.4320553139
2018-12-06,11777.6097880087,11012.9278971661,12307.9362810895
2018-12-07,11842.3595341618,10749.4684642957,12375.60160234
2018-12-10,11856.6843297711,10756.0141876025,12390.5714200511
2018-12-11,12213.8465627862,10723.2855710685,12352.8691398597
2018-12-12,11869.8555716925,10816.5599433694,12460.3181215641
2018-12-13,11862.6724385457,10859.1065206291,12452.7776655258
2018-12-14,11990.1699693062,10742.9227409889,12586.6175242667
2018-12-17,11808.1814866143,10605.4650484843,12395.5760768703
2018-12-18,11813.6471715959,10600.5560681215,12389.8385029621
2018-12-19,11881.2809483455,10615.284257679,12319.0716866269
2018-12-20,11769.5561399072,10515.4641620713,12297.9903292457
2018-12-21,11342.8040943883,10134.1842066166,11852.0778015011
2018-12-24,11395.9185831086,9949.27158072414,11907.5770455559
2018-12-26,10991.1456694896,10310.9143662584,12292.3406612399
2018-12-27,11165.4946988144,10252.0047292008,12222.1104856008
2018-12-28,11270.6446336201,10348.5519631552,12337.2109943929
2018-12-31,11233.2178786271,10409.0983431567,12296.2424616963
2019-01-02,10939.1543057376,10679.1034993339,11974.3509938666
2019-01-03,11146.260624811,10639.8291594932,12201.0562480682
2019-01-04,11569.688474257,11044.018522287,12664.5540238684
2019-01-07,11732.5460436788,11199.476641768,12842.8231700712
2019-01-08,11926.2594325161,11089.8373369655,13054.868091033
2019-01-09,11615.8806334819,11081.6561191839,12715.1174506438
2019-01-10,11657.0470021704,11120.9292105556,12760.1794850609
2019-01-11,11835.4363446943,11291.114271125,12955.4502108633
2019-01-14,11819.9994471818,11112.7479927739,12938.552485143
2019-01-15,11720.1960474557,10986.7450039389,12829.3044660274
2019-01-16,11641.6429866559,10913.1078015583,12743.3177530357
2019-01-17,11564.8346023615,10841.1060936527,12659.2408191972
2019-01-18,11688.7745567729,10957.2898732929,12794.9094892614
2019-01-22,11638.1509700166,10936.0172088976,12739.4952790357
2019-01-23,11817.6898657247,11094.7475657974,12936.0243428166
2019-01-24,11967.5898663149,11235.4774957209,12741.4107808045
2019-01-25,12093.0863351115,11206.0223650748,12775.754264944
